Deliverable,Task to be done,Assignee,Start Date,Planned Due Date,Due Date,Customer,Task Type,Status,Remarks,Completed,Reviewer,Client rework count,Tentative Time,Last edited time,Internal rework count,Completion Date,Created Time
Shalimar Paints Legal training,Shalimar Paints Legal training,U06LK54V5EF,2026-03-17,,2026-03-24,Shalimar Paints,BAU,Yet to start,,false,,0,1,1773808330,0,,2026-03-09
Shalimar Paints Ops Training,Shalimar Paints Ops Training,U06LK54V5EF,2026-03-16,,2026-03-26,Shalimar Paints,BAU,Yet to start,,false,,0,1.3,1774018188,0,,2026-03-09
Shalimar Paints HR Training,Shalimar Paints HR Training,U06LK54V5EF,2026-03-13,,2026-03-23,Shalimar Paints,BAU,Yet to start,,false,,0,1,1773808320,0,,2026-03-09
Shalimar Paints Config,Shalimar Paints Config,U06LK54V5EF,2026-03-12,,2026-03-19,Shalimar Paints,BAU,Completed,,false,,0,3,1773912486,0,2026-03-19,2026-03-09
Shalimar Paints Kickoff,Shalimar Paints Kickoff,U06LK54V5EF,2026-03-11,,2026-03-16,Shalimar Paints,BAU,Completed,,false,,0,2,1773656043,0,2026-03-16,2026-03-09
Onboarding PPT update,Onboarding PPT update,U06LK54V5EF,2026-03-07,,2026-03-07,Internal,BAU,Completed,,false,,0,1,1772947611,0,,2026-03-08
Indoco PY data update on OSH,Indoco PY data update on OSH,U06LK54V5EF,2026-03-05,,2026-03-07,Indoco,BAU,Completed,,false,,0,3,1772947550,0,,2026-03-08
Indoco account plant,Indoco account plant,U06LK54V5EF,2026-03-05,,2026-03-06,Indoco,BAU,Completed,,false,,0,0.3,1772947005,0,,2026-03-08
Arene Report design,Arene Report design,U06LK54V5EF,2026-03-06,,2026-03-07,Arene,BAU,Completed,,false,,0,3,1772862893,0,2026-03-07,2026-03-07
CSRD schema,"• Explore claude code.
• Add the learn icons (AR)
• Complete the remaining sections",U0877RUHX4M,2026-03-10,,2026-03-12,Internal,BAU,Completed,,false,,0,4,1773630504,0,2026-03-13,2026-03-07
DMA Synopsis,create detailed excel for reponses,U0877RUHX4M,2026-03-05,,2026-03-06,MaxLife,BAU,Completed,,false,,0,3,1773049114,0,2026-03-09,2026-03-06
Infra Reassignment,Infra Reassignment,U06LK54V5EF,2026-03-06,,2026-03-06,Infra.Market,BAU,Completed,,false,,0,1.3,1772799600,0,2026-03-06,2026-03-06
Metrochem SR,Metrochem SR,U06LK54V5EF,2026-03-23,,2026-03-31,Metrochem,BAU,Yet to start,,false,,0,4,1772427190,0,,2026-03-02
Call with Santosh Metrochem,Call with Santosh Metrochem,U06LK54V5EF,2026-03-23,,2026-03-31,Metrochem,BAU,Yet to start,,false,,0,1,1772427119,0,,2026-03-02
Metrochem Kickoff,Metrochem Kickoff,U06LK54V5EF,2026-03-16,,2026-04-15,Metrochem,BAU,Yet to start,,false,,0,2,1773634980,0,,2026-03-02
Create data anomalies report for Rustomjee,Create data anomalies report for JLL,U06LK54V5EF,2026-03-02,,2026-03-23,Rustomjee,BAU,Yet to start,,false,,0,0.3,1774018166,0,,2026-03-02
Chatbot response with bharat,Chatbot response with bharat,U06LK54V5EF,2026-03-16,,2026-03-23,Internal,New,Yet to start,,false,,0,2,1772426668,0,,2026-03-02
Indoco Offline data collection and input,Indoco Offline data collection and input,U06LK54V5EF,2026-03-16,,2026-03-24,Indoco,New,Yet to start,,false,,0,3,1772426305,0,,2026-03-02
Data review meeting with Aakriti,Data review meeting with Rohan,U06LK54V5EF,2026-03-23,,2026-03-31,Pratap Snacks,BAU,Yet to start,,false,,0,1,1772426231,0,,2026-03-02
Data review meeting with Rohan,Data review meeting with Rohan,U06LK54V5EF,2026-03-23,,2026-03-31,ADF,BAU,Yet to start,,false,,0,1,1772426897,0,,2026-03-02
Data review meeting with Pratiksha,Data review meeting with Sanket,U06LK54V5EF,2026-03-23,,2026-03-31,Rustomjee,BAU,Yet to start,,false,,0,1,1772426153,0,,2026-03-02
Data review meeting with Sanket,Data review meeting with Sanket,U06LK54V5EF,2026-03-23,,2026-03-31,JLL,BAU,Yet to start,,false,,0,1,1772426130,0,,2026-03-02
Indoco Environment training,Indoco Environment training,U06LK54V5EF,2026-03-17,,2026-03-05,Indoco,BAU,Completed,,false,,0,1.5,1772945820,0,2026-03-05,2026-03-02
Indoco HSE training,Indoco HSE training,U06LK54V5EF,2026-03-17,,2026-03-24,Indoco,BAU,Yet to start,,false,,0,1.3,1774197632,0,,2026-03-02
Indoco Data review,"1.Send pending data reminder report
2. Update indoco drive",U06LK54V5EF,2026-03-17,,2026-03-23,Indoco,BAU,Yet to start,,false,,0,1.3,1774197624,0,,2026-03-02
Indoco configuration,Indoco configuration,U06LK54V5EF,2026-03-05,,2026-03-05,Indoco,BAU,Completed,,false,,0,1.3,1772716719,0,2026-03-05,2026-03-02
Take learning pod on GRI,Take learning pod on GRI,U06LK54V5EF,2026-03-06,,2026-03-06,Internal,BAU,Completed,,false,,0,1.3,1772818550,0,2026-03-06,2026-03-02
Create Supplier onboarding videos,Create Supplier onboarding videos,U06LK54V5EF,2026-03-09,,2026-03-23,Internal,BAU,Yet to start,,false,,0,4,1774018182,0,,2026-03-02
Follow up with Jyoti,"• Create detailed RM for each question 
• Create an excel template for admin data",U0877RUHX4M,2026-03-03,,2026-03-05,Canara HSBC,BAU,Completed,,false,,0,2,1772862462,0,2026-03-07,2026-03-01
Scope 3 corner cases,Confirm on cases and add more 10,U0877RUHX4M,2026-03-16,,2026-03-19,Internal,BAU,Completed,Link,false,,0,5,1774238086,0,2026-03-22,2026-03-01
CSRD schema,"• final review of schema , check the AR mapping ",U0877RUHX4M,2026-03-16,,2026-03-18,Internal,BAU,Completed,Link,false,,0,10,1774237853,0,2026-03-22,2026-03-01
Scope 3 corner cases,Create 10 per week,U0877RUHX4M,2026-03-09,,2026-03-06,Internal,BAU,Completed,,false,,0,4,1772862355,0,2026-03-07,2026-03-01
Scope 3 corner cases,Create 10 per week,U0877RUHX4M,2026-03-09,,2026-03-12,Internal,BAU,Completed,,false,,0,4,1773412944,0,2026-03-13,2026-03-01
BSI trainings,Operations training,U0877RUHX4M,2026-02-16,,2026-03-26,BSI,BAU,Yet to start,,false,,0,2,1773288509,0,,2026-03-01
Kick off for Bajaj Auto,"• Create project plan
• Create deck for kickoff ",U0877RUHX4M,2026-03-09,,2026-04-16,Bajaj Auto,BAU,Yet to start,,false,,0,2.5,1773642216,0,,2026-03-01
Kick off for Swathi,"• Create project plan
• Create deck for kickoff ",U0877RUHX4M,2026-03-09,,2026-04-09,Swasthi,BAU,Yet to start,,false,,0,2.5,1773642212,0,,2026-03-01
Review and create EWRF for BSI Qatar,"• Check their existing EWRF 
• Update it as per requirements as per QCB",U0877RUHX4M,2026-03-16,,2026-03-12,BSI Qatar,BAU,Completed,,false,,0,5,1773412970,0,2026-03-13,2026-03-01
Monthly Project Status Reports,• Share status for data pending to be filled basis monthly and yearly,U0877RUHX4M,2026-04-06,,2026-04-10,Canara HSBC,BAU,Yet to start,,false,,0,1.5,1772386433,0,,2026-03-01
Data monitoring,"• Re-do the configuration basis final RM shared
• Share the users mapped in OSH in excel
• Check status of data ",U0877RUHX4M,2026-03-16,,2026-03-20,Canara HSBC,BAU,Completed,,false,,0,2,1774197448,0,2026-03-19,2026-03-01
Data monitoring,"• Provide status of users for pending data
• Follow ups 
• Meeting with Harshada",U0877RUHX4M,2026-03-03,,2026-03-06,Infra.Market,BAU,Completed,,false,,0,2,1772862341,0,2026-03-07,2026-03-01
Draft DMA doc,"Update the synopsis, add new responses and make changes suggested by Vidhi",U0877RUHX4M,2026-03-09,,2026-03-11,MaxLife,BAU,Completed,,false,,0,3,1773630545,0,2026-03-13,2026-03-01
Reporting,Weekly pending data status summary,U08MDDVKE1X,2026-03-23,2026-03-18,2026-04-03,Manan (Dee Piping),BAU,Yet to start,,false,,0,1,1774179595,0,,2026-03-01
Monthly Monitoring,"• Review the Jan to Feb data.
• Send Mail to HO Users to fill up there pending tasks.
• Review Operations data for all users and mail if anyone has not done",U08MDDVKE1X,2026-03-09,2026-03-11,2026-03-18,Ventive,BAU,Completed,,true,,0,4,1774003944,0,2026-03-20,2026-03-01
Training,OSH Portal Training Session 2,U08MDDVKE1X,2026-03-17,2026-03-18,2026-03-19,Manan (Dee Piping),BAU,Completed,,true,,0,5,1773921442,0,2026-03-19,2026-03-01
Monthly Monitoring,"• Bulk Upload Functionality Excel File send to the Panchshil team and then upload the data from CSO Account.
• Send mail to HO team to start filing there Data",U08MDDVKE1X,2026-03-02,2026-03-11,2026-03-12,Ventive,BAU,Completed,,true,,0,4,1773411039,0,2026-03-13,2026-03-01
Review Data - Dee Piping,Weekly Pending Data Status Summary,U08MDDVKE1X,2026-03-23,2026-03-27,2026-04-10,Manan (Dee Piping),BAU,Yet to start,,false,,0,2,1774179000,0,,2026-02-28
OSH Setup & Configuration,"• Platform Setup
• Dashboard Setup
• Report Configuration
• BU Configuration
• User Configuration
• Anomaly Configuration
• EF (Emission Factors) Configuration",U08MDDVKE1X,2026-03-02,,2026-03-06,Manan (Dee Piping),BAU,Completed,,true,,0,3,1772768365,0,2026-03-06,2026-02-28
BRSR Core,"• Account Creation
• Report Generation
• Data Entry",U08MDDVKE1X,2026-03-02,,2026-03-06,Madison and Hiveminds,BAU,Completed,,true,,0,7,1773023042,0,2026-03-09,2026-02-28
PPT and Content,BRSR CORE webinar,U08MDDVKE1X,2026-03-02,2026-03-06,2026-03-06,Internal,New,Parked,,false,,0,5,1773716200,0,,2026-02-28
GRI 200  series Learning Pod,GRI 200  series Learning Pod,U06LK54V5EF,2026-02-27,,2026-02-27,Internal,BAU,Completed,,false,,0,1.3,1772206235,0,2026-02-27,2026-02-27
Arene SR and Preface,Arene SR and Preface,U06LK54V5EF,2026-02-19,,2026-02-27,Arene,New,Completed,,false,,0,4,1772177733,0,2026-02-27,2026-02-27
Canara HSBC training,IT/risk training,U0877RUHX4M,2026-02-12,,2026-02-26,Canara HSBC,BAU,Completed,,false,,0,1.5,1772192555,0,2026-02-27,2026-02-27
Send OSH update mail to all user,Send OSH update mail to all user,U06LK54V5EF,2026-02-24,,2026-02-25,Internal,BAU,Completed,,false,,0,1,1772086535,0,2026-02-26,2026-02-26
Chatbot response discussion with Bharat,Chatbot response discussion with Bharat,U06LK54V5EF,2026-02-25,,2026-02-26,Internal,New,Completed,,false,,0,1,1772199460,0,2026-02-27,2026-02-26
Ayush case study for Panama Petro,Ayush case study for Panama Petro,U06LK54V5EF,2026-02-24,,2026-02-25,Panama,New,Completed,,false,,0,1,1772086519,0,2026-02-26,2026-02-26
Create TCIL Basics of ESG,Create TCIL Basics of ESG,U06LK54V5EF,2026-02-23,,2026-02-25,TCIL,BAU,Completed,,false,,0,4,1772086250,0,2026-02-26,2026-02-26
BSI trainings,Admin (env data) + HR training,U0877RUHX4M,2026-02-16,,2026-02-26,BSI,BAU,Completed,,false,,0,2.5,1772192558,0,2026-02-27,2026-02-24
OSH deployment,For BRSR,U0877RUHX4M,2026-02-24,,2026-02-24,Canara HSBC,BAU,Completed,,false,,0,3.5,1772030482,0,2026-02-25,2026-02-24
BSI UAE climate report ,"1. Get clarity from Abhirup on the risk register scoring 
2. Conclude the report ",U0877RUHX4M,2026-02-24,,2026-02-27,BSI,BAU,Completed,,false,,0,2,1772383218,0,2026-03-01,2026-02-23
Plan out supplier onboarding videos.,Design and handover supplier onboarding videos.,U06LK54V5EF,2026-02-24,,2026-02-26,Internal,New,Completed,,false,,0,1,1772199457,0,2026-02-27,2026-02-23
CSRD schema,"• Discussion on AR 
• Complete remaining sections of social and 1 gov",U0877RUHX4M,2026-02-24,,2026-03-04,Internal,New,Completed,,false,,0,3,1772981396,0,2026-03-07,2026-02-23
BSI Qatar docs,"• Review ESG policy, update it
• Update the ESG gov framework and Material topics",U0877RUHX4M,2026-02-24,,2026-02-25,BSI Qatar,BAU,Completed,,false,,0,3,1772372086,0,2026-02-27,2026-02-22
DRHP Goals ESG Tracker,Ventive Hospitality,U08MDDVKE1X,2026-02-23,,2026-02-24,Ventive,New,Completed,,true,,0,3,1772186163,0,2026-02-27,2026-02-22
Kickoff and Data collection,Madison and Hiveminds,U08MDDVKE1X,2026-02-23,,2026-02-27,Madison and Hiveminds,BAU,Completed,,true,,0,6,1772186185,0,2026-02-27,2026-02-22
Create Emmbi Custom gpt,Create Emmbi Custom gpt,U06LK54V5EF,2026-02-20,,2026-02-26,Emmbi Industries,BAU,Completed,,false,,0,3,1772176925,0,2026-02-27,2026-02-20
BRSR data collection Template,BRSR data collection Template,U06LK54V5EF,2026-02-23,,2026-02-25,Internal,New,Completed,,false,,0,3,1772177622,0,2026-02-25,2026-02-20
TCIL PPT Update,TCIL HSE PPT Update,U06LK54V5EF,2026-02-19,,2026-02-19,TCIL,BAU,Completed,,false,,0,1,1771517390,0,2026-02-19,2026-02-19
Create data anomalies template,Create data anomalies template,U06LK54V5EF,2026-02-18,,2026-02-19,Internal,BAU,Completed,,false,,0,1,1771484571,0,2026-02-19,2026-02-19
LCA Meeting,LCA Meeting,U06LK54V5EF,2026-02-18,,2026-02-19,JLL,BAU,Completed,,false,,0,1.3,1771484364,0,2026-02-19,2026-02-19
LCA Meeting JLL,LCA Meeting JLL,U06LK54V5EF,2026-02-18,,2026-02-18,JLL,New,Completed,,false,,0,1,1771484089,0,,2026-02-19
TCIL Newsletter,TCIL Newsletter,U06LK54V5EF,2026-02-23,,2026-02-25,TCIL,BAU,Completed,,false,,0,2,1772025440,0,2026-02-25,2026-02-19
Update the RM for SME with new BRSR updates,"Update the “*SME Configuration Sheet” by trimming down the questions. Currently the sheet has full list of BRSR*
Sheet",U06LK54V5EF,2026-02-18,,2026-02-23,Internal,Upgrade,Completed,,false,,0,2,1772177617,0,2026-02-20,2026-02-17
Infra reassignment,Infra reassignment,U06LK54V5EF,2026-02-17,,2026-02-17,Infra.Market,BAU,Completed,,false,,0,1,1771323972,0,,2026-02-17
Basics of ESG and Human Rights,Training on Saturday,U0960SQTB25,2026-02-21,,2026-02-21,Ventive,BAU,Completed,,false,,0,2,1773716617,0,2026-03-17,2026-02-16
Basics of ESG and Human Rights,Training on Saturday,U08MDDVKE1X,2026-02-21,,2026-02-21,Ventive,BAU,Completed,,true,,0,2,1771766134,0,2026-02-22,2026-02-16
BSI trainings,Risk Management,U0877RUHX4M,2026-02-16,,2026-02-26,BSI,BAU,Completed,,false,,0,2.5,1772030470,0,2026-02-25,2026-02-15
BSI trainings,Finance + compliance + legal,U0877RUHX4M,2026-02-16,,2026-03-26,BSI,BAU,Yet to start,,false,,0,2,1773288506,0,,2026-02-15
ADF Ops training,Conduct BRSR ops and OSH Training,U06LK54V5EF,2026-02-13,,2026-02-13,ADF,BAU,Completed,,false,,0,0,1770987952,0,2026-02-13,2026-02-13
ADF HR Training,Conduct training on OSH and BRSR HR data,U06LK54V5EF,2026-02-13,,2026-02-13,ADF,BAU,Completed,,false,,0,1,1770987939,0,2026-02-13,2026-02-13
Infra Reassignment,Reassign users and questions for Infra,U06LK54V5EF,2026-02-10,,2026-02-11,Infra.Market,BAU,Completed,,false,,0,2,1770719671,0,2026-02-10,2026-02-10
BRSR PY Monitoring,Check and report data status for FY 2024-25,U0877RUHX4M,2026-02-10,,2026-02-12,Infra.Market,BAU,Completed,,false,,0,2,1770988835,0,2026-02-13,2026-02-09
CSRD requirement excel,Prepare the excel for the remaining Env and social requirements (ESRS S1-4),U0877RUHX4M,2026-02-10,,2026-02-19,Internal,BAU,Completed,link,false,,0,6,1771776913,0,2026-02-20,2026-02-09
Scope 3 corner cases,Create 10 cases,U0877RUHX4M,2026-02-11,,2026-02-26,Internal,BAU,Completed,,false,,0,3,1772383218,0,2026-03-01,2026-02-09
Scope 3 corner cases,Create 10 cases,U0877RUHX4M,2026-02-11,,2026-02-17,Internal,BAU,Completed,link,false,,0,3,1771595844,0,2026-02-20,2026-02-09
Policy Review,"Review shared policies (EHS, Sustainability, environment)",U0877RUHX4M,2026-02-09,,2026-02-20,Infra.Market,BAU,Completed,link,false,,0,3,1771776742,0,2026-02-20,2026-02-06
DMA survey revise 2.0,"Update questions, descriptions and doc ",U0877RUHX4M,2026-02-05,,2026-02-05,MaxLife,BAU,Completed,,true,,0,4,1770609554,0,2026-02-06,2026-02-06
Conclude Materiality assessment ,"Analysis, and matrix and write up.",U0877RUHX4M,2026-02-18,,2026-04-03,BSI,BAU,Yet to start,,false,,0,3,1774196402,0,,2026-02-06
Canara Monthly monitoring,provide status report,U0877RUHX4M,2026-04-13,,2026-04-17,Canara HSBC,BAU,Yet to start,,false,,0,1,1772386388,0,,2026-02-04
CBAM templates,To understand the workings of the template.,U0877RUHX4M,2026-02-16,,2026-02-20,Internal,New,Completed,,false,,0,5,1771596211,0,2026-02-20,2026-02-04
Create data anomalies report for JLL,Create data anomalies report for JLL,U06LK54V5EF,2026-02-23,,2026-03-11,JLL,BAU,Completed,,false,,0,2,1773296846,0,2026-03-12,2026-02-04
Data Review for Pratap Snacks,Pratap Snacks data validation and review,U06LK54V5EF,2026-02-16,,2026-02-20,Pratap Snacks,BAU,Completed,,false,,0,3,1771484593,0,2026-02-19,2026-02-04
Complete ADP Project  custom GPT,Complete ADP Project  custom GPT,U06LK54V5EF,2026-01-28,,2026-03-12,Abu Dhabi Precast,BAU,Completed,,false,,0,4,1773398803,0,2026-03-13,2026-02-04
All clients data monitor and followups,Check all clients data till date and follow ups,U06LK54V5EF,2026-02-23,,2026-03-20,Internal,BAU,Completed,,false,,0,3,1774018204,0,2026-03-20,2026-02-04
Training,OSH portal Training  Session 1,U08MDDVKE1X,2026-03-02,2026-03-13,2026-03-13,Manan (Dee Piping),BAU,Completed,,true,,0,8,1773395769,0,2026-03-13,2026-02-04
Training,OSH portal Training Part 1,U08MDDVKE1X,2026-03-16,2026-03-20,2026-03-27,Bridgestone,BAU,Yet to start,,false,,0,3,1774179228,0,,2026-02-04
Enter ADF Data from October to December,Enter ADF Data from October to December,U06LK54V5EF,2026-02-09,,2026-03-24,ADF,BAU,Yet to start,,false,,0,3,1774018174,0,,2026-02-04
Cadence call with Sanket,Cadence call with Sanket,U06LK54V5EF,2026-02-09,,2026-02-20,JLL,BAU,Completed,,false,,0,1,1771584705,0,2026-02-20,2026-02-04
Cadence call with Durga Sir,Cadence call with Durga Sir,U06LK54V5EF,2026-02-09,,2026-03-23,Arene,BAU,Yet to start,,false,,0,1,1772947295,0,,2026-02-04
Responsibility Matrix Meeting,Finalize RM and Schedule Trainings,U08MDDVKE1X,2026-02-23,,2026-02-26,Manan (Dee Piping),BAU,Completed,,true,,0,2,1772418835,0,2026-03-02,2026-02-04
